34.623567864,27.1764987,1
79.365287818,75.5763982,1
45.837625617,38.7257639,1	     
61.635478128,35.5689812,0
75.198725625,32.1876357,1
82.178923345,40.1938765,1
69.156792349,52.1091790,0
70.187647721,61.1567258,1
79.186538467,70.0248884,1
67.982482984,18.1010987,0
89.109876543,89.1568628,1
50.098761637,50.1269476,1
34.198724563,19.1879475,0
77.123456712,45.6721176,1
62.214365333,36.5832285,1
80.305273324,74.4943304,0
93.496183045,35.3054493,1
61.587092976,57.2965682,0
88.678901857,60.1875571,0
